,loss_train_CNN,loss_train_linear,loss_test_CNN,loss_test_linear
0,0.13329191589355469,0.4291441650390625,0.198300537109375,0.7269889526367187
1,0.12350109100341797,0.21567892456054688,0.12681110382080077,0.25616207885742187
2,0.11780818939208984,0.18941781616210937,0.11894697570800782,0.19595390319824219
3,0.1165261001586914,0.18342982482910156,0.11818064880371094,0.18570164489746094
4,0.11505506896972656,0.18100656127929687,0.11521729278564453,0.18175686645507813
5,0.11476161193847656,0.1801875457763672,0.11766107177734375,0.18150592041015626
6,0.11380672454833984,0.18035148620605468,0.11353654479980468,0.1800650939941406
7,0.11303370666503906,0.1799056396484375,0.1129368896484375,0.1796153564453125
8,0.11275875854492187,0.17980946350097657,0.11280197906494141,0.1801116943359375
9,0.11247835540771485,0.18032391357421876,0.11272159576416016,0.18006405639648437
10,0.11240496063232422,0.1804923858642578,0.11216719818115234,0.18023851013183595
11,0.1117928695678711,0.18078987121582032,0.1112518310546875,0.18014828491210938
12,0.111730224609375,0.18011563110351564,0.1121931381225586,0.18073028564453125
13,0.11153038787841797,0.17998991394042968,0.11143695068359374,0.18008377075195312
14,0.11130600738525391,0.18015177917480468,0.1107731170654297,0.17961099243164064
15,0.11091020202636719,0.18020993041992187,0.11172553253173828,0.18102742004394531
16,0.11078144836425781,0.1803157196044922,0.11050395965576172,0.18032325744628908
17,0.11064631652832031,0.17993017578125,0.11031228637695313,0.17964326477050782
18,0.11010784912109375,0.1799937286376953,0.10983702087402344,0.17937896728515626
19,0.11023272705078126,0.1798362121582031,0.10994966125488281,0.1802231903076172
20,0.1106305160522461,0.18065324401855468,0.10996475982666015,0.18020675659179688
21,0.10999718475341796,0.1802122039794922,0.11029963684082031,0.18044871520996095
22,0.11011539459228516,0.1810983428955078,0.10982878875732421,0.17941781616210936
23,0.10963648986816406,0.18008326721191406,0.1097556915283203,0.18093797302246092
24,0.1093501739501953,0.1796336212158203,0.11011054229736328,0.18093304443359376
25,0.10988175964355469,0.18029176330566407,0.11062779235839844,0.18169093322753907
26,0.10903720855712891,0.18093107604980468,0.1092352294921875,0.18026876831054686
27,0.10891146850585938,0.17963037109375,0.11110336303710938,0.17961026000976563
28,0.10957139587402344,0.18090167236328125,0.11046765899658204,0.17951034545898437
29,0.1093862533569336,0.18084246826171874,0.10801732635498047,0.17901777648925782
30,0.10889741516113281,0.1799183654785156,0.10814108276367188,0.17962002563476562
31,0.10803002166748046,0.17948495483398438,0.10830188751220703,0.18037905883789063
32,0.10883931732177735,0.1802461700439453,0.10823123931884765,0.17975314331054687
33,0.1084749755859375,0.18038241577148437,0.10895653533935547,0.18050350952148436
34,0.10870182800292968,0.1801991424560547,0.10910589599609374,0.18033171081542967
